Episode: 109000, Average Number of steps: 14.0, Mean Reward: 62.545,,,103000,61.93
Episode: 110000, Average Number of steps: 14.0, Mean Reward: 62.395,,,104000,61.48
Episode: 111000, Average Number of steps: 14.0, Mean Reward: 62.05,,,105000,61.495
Episode: 112000, Average Number of steps: 14.0, Mean Reward: 62.41,,,106000,61.225
Episode: 113000, Average Number of steps: 14.0, Mean Reward: 62.29,,,107000,62.095
Episode: 114000, Average Number of steps: 14.0, Mean Reward: 62.095,,,108000,62.245
Episode: 115000, Average Number of steps: 14.0, Mean Reward: 61.39,,,109000,62.545
Episode: 116000, Average Number of steps: 14.0, Mean Reward: 61.315,,,110000,62.395
Episode: 117000, Average Number of steps: 14.0, Mean Reward: 61.975,,,111000,62.05
Episode: 118000, Average Number of steps: 14.0, Mean Reward: 61.69,,,112000,62.41
Episode: 119000, Average Number of steps: 14.0, Mean Reward: 60.73,,,113000,62.29
Episode: 120000, Average Number of steps: 14.0, Mean Reward: 61.87,,,114000,62.095
Episode: 121000, Average Number of steps: 14.0, Mean Reward: 62.11,,,115000,61.39
Episode: 122000, Average Number of steps: 14.0, Mean Reward: 61.84,,,116000,61.315
Episode: 123000, Average Number of steps: 14.0, Mean Reward: 62.38,,,117000,61.975
Episode: 124000, Average Number of steps: 14.0, Mean Reward: 62.095,,,118000,61.69
Episode: 125000, Average Number of steps: 14.0, Mean Reward: 62.2,,,119000,60.73
Episode: 126000, Average Number of steps: 14.0, Mean Reward: 61.81,,,120000,61.87
Episode: 127000, Average Number of steps: 14.0, Mean Reward: 61.84,,,121000,62.11
Episode: 128000, Average Number of steps: 14.0, Mean Reward: 62.41,,,122000,61.84
Episode: 129000, Average Number of steps: 14.0, Mean Reward: 62.185,,,123000,62.38
Episode: 130000, Average Number of steps: 14.0, Mean Reward: 62.8,,,124000,62.095
Episode: 131000, Average Number of steps: 14.0, Mean Reward: 62.08,,,125000,62.2
Episode: 132000, Average Number of steps: 14.0, Mean Reward: 62.245,,,126000,61.81
Episode: 133000, Average Number of steps: 14.0, Mean Reward: 62.2,,,127000,61.84
Episode: 134000, Average Number of steps: 14.0, Mean Reward: 61.855,,,128000,62.41
Episode: 135000, Average Number of steps: 14.0, Mean Reward: 62.38,,,129000,62.185
Episode: 136000, Average Number of steps: 14.0, Mean Reward: 61.945,,,130000,62.8
Episode: 137000, Average Number of steps: 14.0, Mean Reward: 62.095,,,131000,62.08
Episode: 138000, Average Number of steps: 14.0, Mean Reward: 61.345,,,132000,62.245
Episode: 139000, Average Number of steps: 14.0, Mean Reward: 62.17,,,133000,62.2
Episode: 140000, Average Number of steps: 14.0, Mean Reward: 61.795,,,134000,61.855
Episode: 141000, Average Number of steps: 14.0, Mean Reward: 62.215,,,135000,62.38
Episode: 142000, Average Number of steps: 14.0, Mean Reward: 62.575,,,136000,61.945
Episode: 143000, Average Number of steps: 14.0, Mean Reward: 61.9,,,137000,62.095
Episode: 144000, Average Number of steps: 14.0, Mean Reward: 61.795,,,138000,61.345
Episode: 145000, Average Number of steps: 14.0, Mean Reward: 62.23,,,139000,62.17
Episode: 146000, Average Number of steps: 14.0, Mean Reward: 61.9,,,140000,61.795
Episode: 147000, Average Number of steps: 14.0, Mean Reward: 62.2,,,141000,62.215
Episode: 148000, Average Number of steps: 14.0, Mean Reward: 62.395,,,142000,62.575
Episode: 149000, Average Number of steps: 14.0, Mean Reward: 61.96,,,143000,61.9
Episode: 150000, Average Number of steps: 14.0, Mean Reward: 61.885,,,144000,61.795
,,,,,145000,62.23
,,,,,146000,61.9
,,,,,147000,62.2
,,,,,148000,62.395
,,,,,149000,61.96
,,,,,150000,61.885
