Episode: 110000, Average Number of steps: 14.0, Mean Reward: 62.05,,,,,104000,62.44
Episode: 111000, Average Number of steps: 14.0, Mean Reward: 62.29,,,,,105000,61.975
Episode: 112000, Average Number of steps: 14.0, Mean Reward: 61.93,,,,,106000,62.155
Episode: 113000, Average Number of steps: 14.0, Mean Reward: 62.44,,,,,107000,61.555
Episode: 114000, Average Number of steps: 14.0, Mean Reward: 62.455,,,,,108000,62.785
Episode: 115000, Average Number of steps: 14.0, Mean Reward: 61.81,,,,,109000,62.2
Episode: 116000, Average Number of steps: 14.0, Mean Reward: 61.78,,,,,110000,62.05
Episode: 117000, Average Number of steps: 14.0, Mean Reward: 62.635,,,,,111000,62.29
Episode: 118000, Average Number of steps: 14.0, Mean Reward: 62.86,,,,,112000,61.93
Episode: 119000, Average Number of steps: 14.0, Mean Reward: 61.855,,,,,113000,62.44
Episode: 120000, Average Number of steps: 14.0, Mean Reward: 61.75,,,,,114000,62.455
Episode: 121000, Average Number of steps: 14.0, Mean Reward: 62.32,,,,,115000,61.81
Episode: 122000, Average Number of steps: 14.0, Mean Reward: 62.44,,,,,116000,61.78
Episode: 123000, Average Number of steps: 14.0, Mean Reward: 62.065,,,,,117000,62.635
Episode: 124000, Average Number of steps: 14.0, Mean Reward: 61.375,,,,,118000,62.86
Episode: 125000, Average Number of steps: 14.0, Mean Reward: 62.47,,,,,119000,61.855
Episode: 126000, Average Number of steps: 14.0, Mean Reward: 62.185,,,,,120000,61.75
Episode: 127000, Average Number of steps: 14.0, Mean Reward: 62.665,,,,,121000,62.32
Episode: 128000, Average Number of steps: 14.0, Mean Reward: 61.585,,,,,122000,62.44
Episode: 129000, Average Number of steps: 14.0, Mean Reward: 61.615,,,,,123000,62.065
Episode: 130000, Average Number of steps: 14.0, Mean Reward: 62.08,,,,,124000,61.375
Episode: 131000, Average Number of steps: 14.0, Mean Reward: 61.54,,,,,125000,62.47
Episode: 132000, Average Number of steps: 14.0, Mean Reward: 62.53,,,,,126000,62.185
Episode: 133000, Average Number of steps: 14.0, Mean Reward: 62.395,,,,,127000,62.665
Episode: 134000, Average Number of steps: 14.0, Mean Reward: 62.725,,,,,128000,61.585
Episode: 135000, Average Number of steps: 14.0, Mean Reward: 62.785,,,,,129000,61.615
Episode: 136000, Average Number of steps: 14.0, Mean Reward: 62.2,,,,,130000,62.08
Episode: 137000, Average Number of steps: 14.0, Mean Reward: 62.215,,,,,131000,61.54
Episode: 138000, Average Number of steps: 14.0, Mean Reward: 61.765,,,,,132000,62.53
Episode: 139000, Average Number of steps: 14.0, Mean Reward: 62.245,,,,,133000,62.395
Episode: 140000, Average Number of steps: 14.0, Mean Reward: 62.515,,,,,134000,62.725
Episode: 141000, Average Number of steps: 14.0, Mean Reward: 62.17,,,,,135000,62.785
Episode: 142000, Average Number of steps: 14.0, Mean Reward: 62.26,,,,,136000,62.2
Episode: 143000, Average Number of steps: 14.0, Mean Reward: 62.575,,,,,137000,62.215
Episode: 144000, Average Number of steps: 14.0, Mean Reward: 61.72,,,,,138000,61.765
Episode: 145000, Average Number of steps: 14.0, Mean Reward: 62.515,,,,,139000,62.245
Episode: 146000, Average Number of steps: 14.0, Mean Reward: 61.765,,,,,140000,62.515
Episode: 147000, Average Number of steps: 14.0, Mean Reward: 61.81,,,,,141000,62.17
Episode: 148000, Average Number of steps: 14.0, Mean Reward: 61.855,,,,,142000,62.26
Episode: 149000, Average Number of steps: 14.0, Mean Reward: 62.245,,,,,143000,62.575
Episode: 150000, Average Number of steps: 14.0, Mean Reward: 61.78,,,,,144000,61.72
,,,,,,,145000,62.515
,,,,,,,146000,61.765
,,,,,,,147000,61.81
,,,,,,,148000,61.855
,,,,,,,149000,62.245
,,,,,,,150000,61.78
